operator_id,missed_calls,avg_waiting_time,avg_call_duration,outbound_calls,inbound_calls,internal_calls,total_calls_count,total_calls,missed_call_rate,outbound_activity,score_missed,score_wait,score_outbound,inefficiency_score
896382,10,59.74074074074074,236.74074074074073,13,14,3,117,27,0.37037037037037035,0.48148148148148145,0.37037037037037035,0.12930896264229597,0.5185185185185186,0.3082210998877665
896384,1,140.33333333333334,233.33333333333334,3,0,0,17,3,0.3333333333333333,1.0,0.3333333333333333,0.3037518037518038,0.0,0.272979797979798
896390,5,109.14285714285714,238.42857142857142,7,0,0,42,7,0.7142857142857143,1.0,0.7142857142857143,0.2362399505256648,0.0,0.43982683982683984
896428,15,52.16279069767442,345.7906976744186,32,11,2,180,43,0.3488372093023256,0.7441860465116279,0.3488372093023256,0.11290647337158964,0.2558139534883721,0.252307963354475
896430,3,27.0,123.0,5,1,0,19,6,0.5,0.8333333333333334,0.5,0.05844155844155844,0.16666666666666663,0.2954545454545454
896536,2,57.44736842105263,363.86842105263156,0,76,4,208,76,0.02631578947368421,0.0,0.02631578947368421,0.12434495329232172,1.0,0.20667862838915468
896538,1,60.45454545454545,189.72727272727272,0,11,0,14,11,0.09090909090909091,0.0,0.09090909090909091,0.13085399449035812,1.0,0.24125344352617079
896708,11,85.5,470.625,21,11,0,176,32,0.34375,0.65625,0.34375,0.18506493506493507,0.34375,0.28821022727272727
897030,10,52.0,197.54545454545453,17,5,2,82,22,0.45454545454545453,0.7727272727272727,0.45454545454545453,0.11255411255411256,0.2272727272727273,0.3007575757575758
897872,10,11.84375,162.4375,28,4,3,57,32,0.3125,0.875,0.3125,0.025635822510822512,0.125,0.18397253787878787
897894,0,23.666666666666668,347.3333333333333,3,0,0,5,3,0.0,1.0,0.0,0.05122655122655123,0.0,0.01792929292929293
898414,3,111.0,361.42857142857144,3,4,0,60,7,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.24025974025974026,0.5714285714285714,0.38409090909090904
898422,7,29.85185185185185,229.74074074074073,16,11,0,101,27,0.25925925925925924,0.5925925925925926,0.25925925925925924,0.06461439794773129,0.40740740740740744,0.21335578002244668
898434,5,66.83333333333333,1.0,6,0,2,10,6,0.8333333333333334,1.0,0.8333333333333334,0.14466089466089466,0.0,0.4672979797979798
898558,0,50.38461538461539,64.53846153846153,0,13,0,23,13,0.0,0.0,0.0,0.10905760905760906,1.0,0.18817016317016316
898560,0,67.4,135.5,0,10,0,21,10,0.0,0.0,0.0,0.1458874458874459,1.0,0.20106060606060605
898676,0,8.333333333333334,94.66666666666667,0,3,0,3,3,0.0,0.0,0.0,0.01803751803751804,1.0,0.15631313131313132
898892,14,42.28,118.62,40,10,0,102,50,0.28,0.8,0.28,0.09151515151515152,0.19999999999999996,0.20203030303030303
898902,3,67.42857142857143,95.14285714285714,7,0,0,22,7,0.42857142857142855,1.0,0.42857142857142855,0.14594928880643168,0.0,0.26536796536796536
898906,5,141.75,318.0833333333333,7,5,1,88,12,0.4166666666666667,0.5833333333333334,0.4166666666666667,0.3068181818181818,0.41666666666666663,0.378219696969697
898920,1,160.4,742.4,3,2,0,49,5,0.2,0.6,0.2,0.3471861471861472,0.4,0.2815151515151515
899076,2,23.5,0.0,2,0,1,2,2,1.0,1.0,1.0,0.050865800865800864,0.0,0.5178030303030303
899082,78,193.05,420.6727272727273,147,73,1,2267,220,0.35454545454545455,0.6681818181818182,0.35454545454545455,0.41785714285714287,0.3318181818181818,0.3732954545454545
899250,72,122.39647577092511,236.5726872246696,137,90,2,1364,227,0.31718061674008813,0.6035242290748899,0.31718061674008813,0.26492743673360414,0.3964757709251101,0.31078627686557203
899268,2,26.64,129.08,0,25,0,32,25,0.08,0.0,0.08,0.057662337662337665,1.0,0.2101818181818182
899788,17,168.08333333333334,306.9166666666667,24,0,3,200,24,0.7083333333333334,1.0,0.7083333333333334,0.3638167388167388,0.0,0.48150252525252524
899790,10,180.92857142857142,129.42857142857142,14,0,0,116,14,0.7142857142857143,1.0,0.7142857142857143,0.3916202844774273,0.0,0.4942099567099567
899892,0,31.666666666666668,63.666666666666664,0,3,0,3,3,0.0,0.0,0.0,0.06854256854256854,1.0,0.17398989898989897
899898,0,25.0,590.0,0,2,0,2,2,0.0,0.0,0.0,0.05411255411255411,1.0,0.16893939393939394
899900,0,62.333333333333336,176.0,0,3,1,3,3,0.0,0.0,0.0,0.1349206349206349,1.0,0.19722222222222222
899906,0,19.0,626.0,0,1,False,1,1,0.0,0.0,0.0,0.04112554112554113,1.0,0.1643939393939394
899912,0,19.0,189.0,0,1,False,1,1,0.0,0.0,0.0,0.04112554112554113,1.0,0.1643939393939394
899932,20,100.08695652173913,120.56521739130434,23,0,5,124,23,0.8695652173913043,1.0,0.8695652173913043,0.21663843402973837,0.0,0.5106060606060606
899964,14,214.0,299.36842105263156,19,0,1,179,19,0.7368421052631579,1.0,0.7368421052631579,0.46320346320346323,0.0,0.5305422647527911
899968,16,166.75,154.45,20,0,2,162,20,0.8,1.0,0.8,0.36093073593073594,0.0,0.5263257575757576
899972,20,82.23333333333333,165.23333333333332,30,0,5,135,30,0.6666666666666666,1.0,0.6666666666666666,0.17799422799422798,0.0,0.3956313131313131
900180,52,126.17948717948718,214.30769230769232,75,3,21,590,78,0.6666666666666666,0.9615384615384616,0.6666666666666666,0.2731157731157731,0.038461538461538436,0.43469308469308465
900192,1,5.0,1.3333333333333333,1,2,0,3,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.010822510822510822,0.6666666666666667,0.27045454545454545
900194,16,41.042857142857144,238.77142857142857,29,41,0,110,70,0.22857142857142856,0.4142857142857143,0.22857142857142856,0.08883735312306741,0.5857142857142856,0.23323593073593074
900352,39,55.98684210526316,353.4078947368421,91,61,0,558,152,0.2565789473684211,0.5986842105263158,0.2565789473684211,0.12118364092048302,0.4013157894736842,0.23090111642743222
900354,52,63.19875776397515,349.3850931677019,108,53,0,658,161,0.32298136645962733,0.6708074534161491,0.32298136645962733,0.13679384797397218,0.3291925465838509,0.25874741200828155
900458,6,52.81818181818182,32.0,10,1,0,29,11,0.5454545454545454,0.9090909090909091,0.5454545454545454,0.11432506887052342,0.09090909090909094,0.3263774104683196
900492,50,55.76106194690266,120.33628318584071,97,16,0,276,113,0.4424778761061947,0.8584070796460177,0.4424778761061947,0.12069493927901008,0.1415929203539823,0.2847211048538482
900592,18,39.87777777777778,343.68888888888887,47,43,6,406,90,0.2,0.5222222222222223,0.2,0.08631553631553632,0.47777777777777775,0.20187710437710438
900594,19,24.921348314606742,319.3707865168539,68,21,0,233,89,0.21348314606741572,0.7640449438202247,0.21348314606741572,0.05394231236927866,0.2359550561797753,0.16101464078992167
900614,5,14.658536585365853,97.6829268292683,27,14,0,66,41,0.12195121951219512,0.6585365853658537,0.12195121951219512,0.031728434167458554,0.3414634146341463,0.12330007390983
